sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
11341,5,-648,0,0,1,1,0,0
13757,0,-97,1,1,0,0,1,1
12117,4,-167,1,1,1,1,0,1
14421,3,-731,0,0,0,1,1,0
1442,3,-280,1,0,0,1,0,0
13873,5,-598,1,0,0,1,0,0
4243,3,-793,0,1,0,1,0,0
12685,1,-50,1,1,0,0,0,0
2757,5,-462,0,0,1,1,1,1
5556,5,-174,1,1,0,1,0,0
5220,2,-731,1,1,1,1,1,1
6721,4,-366,0,0,0,1,1,0
2791,2,-69,1,0,0,1,0,0
3358,3,-869,1,1,0,0,1,1
6707,1,-223,0,0,1,0,0,1
9539,5,-747,1,0,1,0,1,1
9800,5,-967,1,1,1,1,0,1
8483,0,-350,1,1,1,0,1,1
9711,3,-274,1,0,0,0,0,1
12901,4,-272,1,1,1,0,0,1
5860,0,-294,0,1,1,0,0,1
2728,0,-146,0,1,1,0,0,0
9059,3,-260,0,0,1,0,0,1
1659,3,-567,1,0,0,0,0,1
432,0,-771,1,0,0,1,1,0
12635,1,-284,0,0,1,0,0,1
7547,2,-248,1,1,0,0,0,1
5526,2,-203,0,1,0,0,1,0
6365,5,-626,1,0,1,0,0,0
3747,5,-261,0,1,0,0,1,1
2242,4,-37,1,1,0,1,0,0
948,0,-395,0,0,0,0,1,0
8248,5,-654,0,0,0,0,1,1
4995,0,-877,1,1,0,0,1,0
6417,2,-697,1,0,0,1,0,1
8814,5,-83,0,1,1,1,0,1
8891,3,-319,0,0,1,0,0,1
9689,5,-562,1,0,0,1,1,1
13546,0,-859,0,0,1,0,0,0
4126,2,-751,1,0,1,1,1,0
5597,1,-364,1,0,1,1,0,0
6253,4,-737,1,0,0,0,0,0
6368,5,-588,0,0,0,0,1,0
7338,1,-421,0,1,1,1,1,0
6077,2,-338,1,1,1,0,0,0
8986,3,-117,1,1,1,1,0,0
7016,0,-898,1,0,0,1,0,1
10530,1,-737,0,0,1,1,0,0
11917,2,-413,0,0,0,1,1,1
7746,1,-730,0,0,0,1,1,0
10781,4,-540,0,0,0,0,0,0
3967,1,-170,0,0,1,1,0,1
12817,4,-295,0,1,0,1,1,0
6640,3,-959,0,0,1,0,1,0
9465,1,-417,0,1,0,0,1,0
8271,5,-295,0,1,0,1,1,1
11253,3,-512,0,1,0,0,1,1
14929,1,-857,0,1,0,1,0,0
784,4,-333,0,0,1,0,1,1
6440,2,-561,0,1,1,1,1,0
10642,0,-858,0,1,1,0,1,0
10613,3,-23,0,0,1,0,1,1
9614,1,-148,0,0,1,1,1,0
10635,2,-259,0,0,0,1,0,1
5494,2,-161,0,1,1,1,0,0
5644,3,-526,1,1,1,1,1,0
2816,0,-842,0,1,0,0,1,1
3094,0,-989,1,0,1,0,1,0
6112,3,-536,0,1,0,0,0,1
11554,0,-753,0,0,0,1,1,0
11884,0,-622,0,0,0,1,0,1
14479,5,-878,0,1,0,1,1,1
5212,3,-709,1,0,1,1,1,1
8396,0,-895,1,1,0,0,1,0
9976,1,-982,0,1,0,1,0,1
11893,2,-11,1,1,0,1,0,1
825,2,-116,0,0,1,0,0,0
1399,5,-748,0,1,0,1,1,1
7234,0,-389,1,0,1,0,1,0
13742,3,-721,0,0,1,1,0,1
14851,2,-59,1,0,1,1,0,0
12079,0,-245,0,0,0,1,1,0
14747,2,-800,1,0,1,0,0,1
14242,5,-906,1,0,1,1,1,1
13274,0,-173,0,0,0,1,1,0
14227,3,-607,1,0,0,1,0,0
1593,0,-357,0,1,0,1,0,1
9779,2,-218,1,1,1,1,1,0
11895,5,-199,0,1,0,0,1,1
5378,5,-838,0,1,1,0,0,0
6018,1,-35,0,1,1,1,0,0
13040,0,-748,1,0,0,1,0,1
1730,5,-728,0,0,0,1,0,0
8915,0,-292,1,0,0,1,1,0
9227,0,-453,1,1,0,1,1,1
1291,5,-334,0,0,1,0,0,1
5059,0,-151,1,0,0,1,0,0
5871,2,-547,0,0,1,1,0,1
9735,3,-504,0,0,0,0,1,0
14259,4,-781,1,1,1,0,0,1
8181,4,-764,1,0,1,1,1,0
315,5,-119,0,0,1,1,0,1
4403,5,-993,1,0,1,1,1,1
660,5,-497,0,0,0,0,1,1
11656,4,-704,0,1,1,0,1,1
10926,3,-644,1,0,0,0,1,1
8356,3,-837,0,1,0,1,1,0
14515,0,-803,0,0,1,0,0,1
8807,3,-633,0,0,1,0,0,1
4362,1,-462,0,1,1,0,1,0
12215,5,-512,1,0,0,1,1,1
5452,3,-101,1,1,0,0,1,0
11456,5,-75,0,1,0,0,0,0
1735,0,-555,0,0,0,1,1,1
10019,3,-35,0,1,0,1,1,0
6162,4,-110,0,1,0,1,1,0
4057,0,-818,1,1,1,0,0,1
933,5,-668,0,0,0,0,1,1
4135,4,-295,0,1,1,1,0,1
7550,0,-767,0,0,1,1,0,1
7004,4,-63,0,1,1,1,0,1
2850,3,-389,1,0,0,0,1,1
14716,1,-320,0,0,1,0,1,1
8888,1,-421,1,0,1,0,0,0
