,sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution,Outcome
0,2340,2,-29,1,0,1,1,0,0,0
1,754,5,-51,1,1,1,1,0,0,1
2,4591,2,-2,0,1,1,0,0,1,0
3,822,0,-47,0,1,1,1,1,0,1
4,2996,3,-30,1,1,0,0,1,0,0
5,649,5,-1,1,1,0,1,1,1,1
6,4804,4,-47,1,1,0,1,1,1,0
7,3655,5,-37,0,1,0,1,1,0,0
8,4041,3,-22,0,1,1,0,0,1,0
9,2238,2,-84,1,1,0,1,1,1,0
10,2095,4,-59,0,0,0,1,1,1,1
11,4218,4,-54,1,0,1,1,1,0,0
12,1471,5,-12,0,0,0,0,1,1,1
13,3995,4,-12,1,0,0,1,0,0,0
14,3883,4,-44,0,0,0,1,0,1,0
15,675,2,-49,1,1,0,0,0,0,1
16,382,4,-74,0,0,0,0,1,0,1
17,3094,3,-4,0,1,1,1,1,0,0
18,39,1,-48,0,1,1,0,0,0,1
19,4258,3,-9,0,0,0,0,1,1,0
20,1694,5,-30,1,0,0,0,1,0,1
21,3119,1,-17,0,1,1,1,0,0,0
22,2544,1,-83,0,1,1,1,1,0,0
23,1277,4,-1,1,1,0,1,0,0,1
24,143,1,-14,1,1,0,1,1,0,1
25,3515,2,-88,0,0,0,0,0,1,0
26,2585,4,-17,1,0,1,1,1,1,0
27,4149,0,-76,0,0,1,0,0,0,0
28,1046,0,-36,1,0,1,0,0,0,1
29,3010,1,-89,1,0,1,1,0,0,0
30,716,1,-93,0,0,1,1,0,0,1
31,3891,0,-38,0,1,1,1,0,1,0
32,3483,2,-24,1,1,0,1,1,0,0
33,667,3,-84,1,0,0,0,0,1,1
34,1972,2,-73,0,0,1,0,1,0,1
35,2684,2,-40,0,0,1,0,0,1,0
36,4895,1,-95,0,1,0,1,0,1,0
37,624,0,-85,0,0,0,1,1,1,1
38,3158,1,-46,1,1,1,0,1,1,0
39,4220,3,-59,0,1,1,0,0,1,0
40,852,4,-95,1,1,0,1,1,1,1
41,102,0,-5,1,0,0,1,0,0,1
42,585,1,-100,0,0,1,0,0,0,1
43,2210,4,-20,0,0,1,0,1,1,0
44,4479,5,-60,1,0,1,0,1,1,0
45,3074,1,-24,1,1,1,0,1,0,0
46,2896,4,-55,0,1,0,1,0,0,0
47,1187,0,-81,1,0,0,1,0,1,1
48,2012,5,-82,0,0,1,0,0,1,1
49,661,2,-54,1,0,0,1,1,0,1
50,2994,2,-38,0,1,1,0,1,1,0
51,2503,5,-44,1,1,0,0,1,0,0
52,3212,0,-79,1,0,1,0,1,0,0
53,4687,2,-88,1,0,0,0,1,1,0
54,876,2,-55,0,1,1,1,1,0,1
55,4255,5,-40,0,1,0,1,1,0,0
56,127,0,-21,1,1,1,0,0,0,1
57,1246,3,-39,1,0,1,1,0,1,1
58,1375,5,-98,0,1,1,0,0,0,1
59,1105,2,-78,0,0,0,0,1,0,1
60,1558,4,-42,0,1,1,0,0,0,1
61,1318,5,-42,1,1,1,0,0,1,1
62,2481,2,-15,1,1,1,0,1,0,0
63,1789,4,-74,0,0,0,0,1,1,1
64,4082,5,-60,1,1,0,0,1,1,0
