sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
2340,2,-29,1,0,1,1,0,0
754,5,-51,1,1,1,1,0,0
4591,2,-2,0,1,1,0,0,1
822,0,-47,0,1,1,1,1,0
2996,3,-30,1,1,0,0,1,0
649,5,-1,1,1,0,1,1,1
4804,4,-47,1,1,0,1,1,1
3655,5,-37,0,1,0,1,1,0
4041,3,-22,0,1,1,0,0,1
2238,2,-84,1,1,0,1,1,1
2095,4,-59,0,0,0,1,1,1
4218,4,-54,1,0,1,1,1,0
1471,5,-12,0,0,0,0,1,1
3995,4,-12,1,0,0,1,0,0
3883,4,-44,0,0,0,1,0,1
675,2,-49,1,1,0,0,0,0
382,4,-74,0,0,0,0,1,0
3094,3,-4,0,1,1,1,1,0
39,1,-48,0,1,1,0,0,0
4258,3,-9,0,0,0,0,1,1
1694,5,-30,1,0,0,0,1,0
3119,1,-17,0,1,1,1,0,0
2544,1,-83,0,1,1,1,1,0
1277,4,-1,1,1,0,1,0,0
143,1,-14,1,1,0,1,1,0
3515,2,-88,0,0,0,0,0,1
2585,4,-17,1,0,1,1,1,1
4149,0,-76,0,0,1,0,0,0
1046,0,-36,1,0,1,0,0,0
3010,1,-89,1,0,1,1,0,0
716,1,-93,0,0,1,1,0,0
3891,0,-38,0,1,1,1,0,1
3483,2,-24,1,1,0,1,1,0
667,3,-84,1,0,0,0,0,1
1972,2,-73,0,0,1,0,1,0
2684,2,-40,0,0,1,0,0,1
4895,1,-95,0,1,0,1,0,1
624,0,-85,0,0,0,1,1,1
3158,1,-46,1,1,1,0,1,1
4220,3,-59,0,1,1,0,0,1
852,4,-95,1,1,0,1,1,1
102,0,-5,1,0,0,1,0,0
585,1,-100,0,0,1,0,0,0
2210,4,-20,0,0,1,0,1,1
4479,5,-60,1,0,1,0,1,1
3074,1,-24,1,1,1,0,1,0
2896,4,-55,0,1,0,1,0,0
1187,0,-81,1,0,0,1,0,1
