sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
81631.95,5,557.7,1,0,0,1,0,1
90569.99,4,627.89,0,1,0,1,1,1
93542.7,1,856.67,1,1,1,1,1,0
82687.1,3,834.14,1,0,1,1,0,0
95607.54,2,686.01,0,0,1,1,1,0
43091.29,1,64.57,0,1,1,1,1,0
99296.66,3,810.0,0,1,0,0,0,0
81358.02,4,904.28,0,0,1,0,1,1
49036.9,4,429.27,1,0,1,1,0,1
70306.35,4,922.05,1,0,0,1,1,1
91723.06,5,365.15,1,1,1,0,1,0
85448.33,4,705.76,1,0,0,1,1,0
89429.45,2,508.23,0,1,1,1,1,1
354.28,4,898.02,1,1,0,1,0,1
82.3,5,463.25,1,1,0,0,0,1
17408.87,4,189.49,1,0,1,0,0,1
23765.74,3,821.16,1,1,0,1,1,0
58190.17,1,777.05,1,1,1,0,1,0
59329.23,5,221.97,0,0,1,1,0,0
93179.92,3,398.14,0,1,1,1,1,0
72731.15,5,90.49,1,1,1,0,1,1
74315.18,5,769.07,1,0,1,1,1,1
38369.93,4,109.56,0,1,0,1,1,1
28782.26,4,968.58,1,1,1,0,0,0
6373.48,1,76.77,1,1,1,1,1,0
14149.98,2,731.71,0,0,1,1,1,1
41477.96,2,616.57,1,0,0,0,1,0
5785.6,2,833.01,1,1,1,1,1,1
82469.79,1,505.59,1,1,1,0,1,1
77731.44,1,866.24,0,0,0,1,1,1
89084.39,3,21.56,1,0,1,0,0,0
50356.44,4,765.83,0,1,0,1,0,0
62417.85,3,325.8,1,0,0,1,0,0
35035.43,4,636.36,1,1,0,1,1,0
36080.14,2,932.14,1,0,1,1,1,0
41405.16,5,169.36,1,0,1,1,0,1
93754.11,3,980.49,0,1,0,0,0,0
12807.11,1,646.99,0,1,0,1,0,1
74434.0,2,874.4,0,1,1,0,0,0
40818.93,2,480.37,1,0,0,1,1,1
786.54,4,278.96,0,1,1,0,0,1
28570.62,5,680.42,0,0,0,0,1,0
11998.93,2,21.74,1,0,0,1,1,1
67722.87,4,417.63,0,1,1,0,1,1
73600.26,5,768.99,0,0,0,0,1,0
78094.96,1,617.12,0,1,0,1,1,0
30894.2,1,306.57,0,1,1,1,1,0
29781.16,4,34.3,0,0,0,1,0,1
69326.99,3,150.12,0,0,0,0,1,0
20449.95,3,679.95,0,1,1,1,1,0
27124.37,1,503.38,0,1,0,0,0,0
30006.29,3,73.87,0,1,0,0,1,0
21397.89,5,790.44,0,0,1,1,0,1
12983.0,3,408.14,1,0,0,0,0,0
29836.31,1,97.15,0,1,0,0,1,1
43559.77,4,741.86,1,0,0,1,0,0
79449.41,1,270.34,0,1,1,1,0,0
28612.36,1,4.32,0,1,0,1,0,0
65010.13,3,71.44,0,0,1,1,1,0
96919.21,3,129.11,0,1,0,1,0,0
78223.01,1,642.39,0,0,1,1,0,0
5710.02,5,131.44,0,1,1,1,0,1
32748.59,1,610.61,1,1,0,1,0,1
16088.95,3,789.87,0,1,0,0,1,1
20571.11,2,248.74,0,0,0,1,0,0
50020.84,2,784.13,1,1,1,1,1,1
19658.73,2,776.06,0,1,0,1,1,0
8373.19,1,543.66,0,1,0,0,1,0
48256.89,1,844.91,0,0,0,0,1,0
73419.3,5,710.05,0,0,1,0,0,0
69898.37,4,288.13,1,0,0,1,1,1
20098.82,3,847.45,1,0,0,0,1,0
71566.66,1,630.09,0,1,1,1,1,0
97389.84,3,821.85,0,1,1,0,1,1
93348.06,2,371.07,0,0,0,1,0,1
17800.9,1,190.9,0,0,1,1,0,1
76855.9,4,252.07,0,1,1,0,1,0
29330.08,1,735.74,1,1,0,0,0,0
32975.89,3,813.26,1,0,0,1,1,1
31746.73,4,287.9,0,0,0,0,0,1
86667.67,3,533.93,1,1,1,1,0,1
60553.44,1,409.23,1,0,0,0,0,0
26724.27,4,147.96,0,1,0,1,0,0
948.18,3,733.53,1,1,0,0,1,1
71792.18,2,841.5,1,0,0,1,0,1
62183.67,5,197.67,0,1,0,1,1,1
29343.17,2,734.39,1,1,1,0,1,1
38151.56,1,515.21,1,0,1,1,1,1
95397.37,1,751.99,1,1,0,0,0,1
66178.38,5,949.98,1,0,1,1,0,1
17450.58,3,487.92,0,1,0,1,0,1
38635.85,4,235.44,1,1,1,1,1,1
90640.35,3,920.93,0,0,1,1,1,1
45530.17,4,707.44,0,1,0,1,0,0
95161.49,1,31.6,1,0,0,0,0,1
75252.47,1,624.22,0,0,0,1,1,1
71420.01,4,972.62,0,1,0,1,1,0
45976.74,3,531.09,0,0,1,0,0,0
36632.33,4,27.54,0,0,1,0,0,0
50617.24,2,987.66,0,1,0,0,1,1
65315.22,4,190.56,0,0,1,0,1,0
