sale_day,customer_score,losses_day,Organization,Responsibility,Conduct,Resource_management,Conflict_management,Contribution
277.33,1,-278.33,1,1,1,0,1,1
614.98,3,-85.46,0,0,1,1,1,0
140.61,1,-887.36,1,0,1,0,1,1
672.93,4,-547.72,0,0,1,0,1,1
974.78,2,-920.47,1,1,1,1,0,1
920.83,1,-113.85,0,0,1,0,0,1
151.41,1,-958.04,1,0,0,1,0,1
899.15,3,-895.53,1,0,1,1,1,0
695.6,1,-322.03,0,1,1,0,1,1
443.09,4,-76.51,0,0,1,1,0,1
299.58,2,-657.47,0,1,1,0,1,1
515.27,3,-288.74,0,0,0,0,1,1
382.99,3,-107.62,0,1,1,1,1,1
564.35,3,-450.2,1,0,0,0,0,1
550.42,5,-898.54,0,1,0,0,1,1
907.23,1,-160.28,0,1,0,1,1,0
805.42,3,-149.02,1,1,1,1,1,0
11.73,2,-421.77,1,0,1,0,0,1
534.07,5,-288.44,1,1,1,0,0,1
883.32,2,-638.25,0,0,1,0,1,1
293.2,3,-277.78,0,1,1,0,0,0
961.5,2,-827.6,0,0,1,1,0,0
379.18,1,-263.12,0,0,1,1,1,1
545.65,2,-315.94,1,1,1,1,1,1
980.71,1,-157.25,0,0,1,1,0,0
508.97,3,-111.15,1,1,0,1,0,1
961.72,1,-370.1,1,1,1,0,1,0
701.88,4,-689.51,1,0,0,1,0,1
639.25,5,-108.84,0,1,0,1,1,1
721.55,4,-794.11,1,0,1,1,0,1
297.35,1,-620.33,1,0,0,1,1,0
212.38,3,-77.45,0,0,1,0,1,0
544.33,3,-514.16,0,0,1,0,0,1
972.17,4,-372.76,1,0,0,0,1,1
365.54,3,-4.73,1,0,0,0,1,1
659.76,5,-430.23,0,0,1,1,0,0
953.19,1,-904.95,0,1,0,1,0,0
475.35,1,-868.45,0,1,0,1,0,1
182.51,2,-257.6,0,1,0,1,0,0
264.26,2,-342.25,1,0,1,1,0,0
370.2,5,-484.61,1,0,0,0,1,1
903.93,3,-723.49,1,0,1,1,0,0
514.91,3,-745.65,0,1,1,1,0,1
769.28,1,-421.14,1,0,0,1,1,1
57.94,2,-820.61,1,0,0,0,0,1
127.82,4,-298.28,0,0,0,0,0,0
542.76,2,-639.03,1,0,0,1,1,1
742.29,3,-265.41,1,1,1,1,0,1
568.13,3,-183.27,1,1,1,1,0,1
995.29,5,-832.01,1,1,0,1,1,1
